Signatura,Denominació comercial,Municipi,Adreça de l'establiment,Nombre de vehicles,Nom explotador(s),NIF/CIF explotador(s)
RC/117,AUTOS ARBONA,ALCÚDIA,"Avinguda de la Marina, 13 porta baixo. 07400 ALCÚDIA, Mallorca",15,Francisco Arbona Servera,*********
RC/118,AUTOS CANO,PALMA,"Carrer Bellamar, 20 local 12. 07610 Can Pastilla, PALMA, Mallorca",33,AUTOS CANO RENT A CAR SL,B07860463
RC/119,CAN PASTILLA,PALMA,"Carretera Can Pastilla, 112. 07610 Can Pastilla, PALMA, Mallorca",10,Juan Antonio Verdera Ferrer,*********
RC/120,BELMAR,CALVIÀ,"Passeig Illetes, 12 porta A local 1. 07181 Cas Català-Illetes, CALVIÀ, Mallorca",19,BELMAR RENT A CAR SL,B57536526
RC/121,AUTOS KING,CALVIÀ,"Avinguda Paguera, 34. 07184 Peguera, CALVIÀ, Mallorca",43,AUTOS KING PAGUERA SL,B57747214
RC/122,ESTEBAN ORTEGA FANALS,PALMA,"Camí Son Prunes, 19. 07198 Son Ferriol, PALMA, Mallorca",1,Esteban Ortega  Fanals,*********
RC/123,MECANICOLOR,INCA,"Carrer Justicia, 14. 07300 INCA, Mallorca",8,MECANICOLOR INCA SL,B57950842
RC/124,AUTOSOMEGA,CALVIÀ,"Carrer Gran Via Puig del Teix, 6. 07180 Santa Ponça, CALVIÀ, Mallorca",35,Autos Omega Rent a Car SA,A07283161
RC/125,ANSE,PALMA,"Avinguda Gabriel Roca, 9. 07014 PALMA, Mallorca",46,Anse 2004 SL,B57247462
RC/126,CHOTRA,PALMA,"Avinguda de America, 4 porta baixos. 07600 Arenal (L'), PALMA, Mallorca",21,Chotra SL,B57841629
RC/127,VIGOSA,PALMA,"Avinguda Gabriel ROca, 12. 07014 PALMA, Mallorca",50,Vigosa Balear SL,B07859051
RC/128,LOW COST,PALMA,"Avinguda Gabriel Roca, 9,11 i 12. 07014 PALMA, Mallorca",0,Low COst Palma SL,B57949117
RC/129,VANRELL,ALCÚDIA,"Carrer Pins, 22 pis 1 porta A. 07400 ALCÚDIA, Mallorca",450,GRUP VANRELL MOREY SL,B07697121
RC/130,INTERNACIONAL SMILEY CARS SL,CALVIÀ,"Carrer Delfin, 3 local 2. 07160 Peguera, CALVIÀ, Mallorca",20,Internacional Smiley Cars SL,B07873086
